textid	text	daily_dose	dose_number	dose_unit	dose_frequency	dose_interval	choice_of_dose	dose_max_average	change_dose	dose_duration
88	"TWO 5ML SPOONSFUL TO BE TAKEN TWICE A DAY"	20	10	"ML"	2	1	0	0	0	0
89	"TWO PUFFS TWICE DAILY"	4	2	"PUFF"	2	1	0	0	0	0
90	"TAKE TWO AT NIGHT"	2	2	""	1	1	0	0	0	0
91	"MDU"	0	0	""	0	0	0	0	0	0
92	"1X5ML SPOON 4 TIMES/DAY"	20	5	"ML"	4	1	0	0	0	0
93	"TAKE ONE AS NEEDED"	0	1	""	1	0	2	0	0	0
94	"ONE THREE TIMES A DAY AFTER FOOD"	3	1	""	3	1	0	0	0	0
95	"15ML TWICE DAILY"	30	15	"ML"	2	1	0	0	0	0
96	"TWO 5ML SPOONSFUL TO BE TAKEN THREE TIMES A DAY"	30	10	"ML"	3	1	0	0	0	0
97	"2 AT NIGHT"	2	2	""	1	1	0	0	0	0
98	"ASD"	0	0	""	0	0	0	0	0	0
99	"TAKE TWO 4 TIMES/DAY"	8	2	""	4	1	0	0	0	0
100	"2 FOUR TIMES A DAY"	8	2	""	4	1	0	0	0	0
101	"ONE PUFF AS NEEDED"	0	1	"PUFF"	1	0	2	0	0	0
102	"ONE DROP 4 TIMES/DAY"	4	1	"DROPS"	4	1	0	0	0	0
103	"1 TDS"	3	1	""	3	1	0	0	0	0
104	"TAKE 1 OR 2  4 TIMES/DAY"	6	1.5	""	4	1	1	2	0	0
105	"ONE A DAY"	1	1	""	1	1	0	0	0	0
106	"ONE OR TWO FOUR TIMES A DAY"	6	1.5	""	4	1	1	2	0	0
107	"1BD"	2	1	""	2	1	0	0	0	0
108	"AS SHOWN ON THE PACK"	0	0	""	0	0	0	0	0	0
109	"TWO 5ML SPOONSFUL TO BE TAKEN FOUR TIMES A DAY"	40	10	"ML"	4	1	0	0	0	0
110	"TWO IN THE MORNING"	2	2	""	1	1	0	0	0	0
111	"TO BE APPLIED THREE TIMES A DAY"	3	0	""	3	1	0	0	0	0
112	"THREE TIMES A DAY WHEN REQUIRED"	3	0	""	3	1	2	0	0	0
113	"ONE DROP ONCE DAILY"	1	1	"DROPS"	1	1	0	0	0	0
114	"BD"	2	0	""	2	1	0	0	0	0
115	"OD"	1	0	""	1	1	0	0	0	0
116	"USE TWICE DAILY"	2	0	""	2	1	0	0	0	0
117	"APPLY THREE TIMES A DAY"	3	0	""	3	1	0	0	0	0
118	"1 NOCTE"	1	1	""	1	1	0	0	0	0
119	"2 EVERY NIGHT"	2	2	""	1	1	0	0	0	0
120	"ONE OR TWO EVERY NIGHT"	1.5	1.5	""	1	1	1	2	0	0
121	"2 THREE TIMES A DAY"	6	2	""	3	1	0	0	0	0
122	"TAKE ONE THREE TIMES A DAY"	3	1	""	3	1	0	0	0	0
123	"TWO PUFF WHEN REQUIRED"	0	2	"PUFF"	1	0	2	0	0	0
124	"ONE TO BE TAKEN DAILY"	1	1	""	1	1	0	0	0	0
125	"ONE OR TWO WHEN REQUIRED"	0	1.5	""	1	0	2	2	0	0
126	"TWO 5ML SPOONSFUL TO BE TAKEN WHEN REQUIRED"	0	10	"ML"	1	0	2	0	0	0
127	"ONE EVERY NIGHT WHEN REQUIRED"	1	1	""	1	1	2	0	0	0
128	"TAKE ONE EVERY 12 HRS"	2	1	""	1	0.5	0	0	0	0
129	"ONE AS DIRECTED"	0	1	""	1	0	0	0	0	0
130	"TAKE ONE EVERY DAY"	1	1	""	1	1	0	0	0	0
131	"1 THREE TIMES A DAY WHEN REQUIRED"	3	1	""	3	1	2	0	0	0
132	"TAKE ONE A DAY"	1	1	""	1	1	0	0	0	0
133	"APPLY 4 TIMES/DAY"	4	0	""	4	1	0	0	0	0
134	"2 PUFF(S) TWICE A DAY"	4	2	"PUFF"	2	1	0	0	0	0
135	"ONE 5ML SPOONSFUL TO BE TAKEN TWICE A DAY"	10	5	"ML"	2	1	0	0	0	0
136	"TAKE TWO TWICE DAILY"	4	2	""	2	1	0	0	0	0
137	"ONE OR TWO THREE TIMES A DAY WHEN REQUIRED"	4.5	1.5	""	3	1	2	2	0	0
138	"FOUR TIMES A DAY WHEN REQUIRED"	4	0	""	4	1	2	0	0	0
139	"ONE PUFF TWICE A DAY"	2	1	"PUFF"	2	1	0	0	0	0
140	"TAKE ONE IN THE MORNING"	1	1	""	1	1	0	0	0	0
141	"5ML THREE TIMES A DAY"	15	5	"ML"	3	1	0	0	0	0
142	"TO BE APPLIED TO THE AFFECTED PART TWICE A DAY"	2	0	""	2	1	0	0	0	0
143	"THREE EVERY NIGHT"	3	3	""	1	1	0	0	0	0
144	"AS DIR"	0	0	""	0	0	0	0	0	0
145	"ONE THREE TIMES A DAY WITH MEALS"	3	1	""	3	1	0	0	0	0
146	"1 TAB AT NIGHT"	1	1	"TAB"	1	1	0	0	0	0
147	"ONE FOUR TIMES A DAY WHEN REQUIRED"	4	1	""	4	1	2	0	0	0
148	"ONE OR TWO AT NIGHT"	1.5	1.5	""	1	1	1	2	0	0
149	"ONE EVERY DAY AFTER FOOD"	1	1	""	1	1	0	0	0	0
150	"INHALE 1 DOSE ONCE DAILY"	1	1	""	1	1	0	0	0	0
151	"TAKE 1 OR 2 AS DIRECTED"	0	1.5	""	1	0	1	2	0	0
152	"TAKE ONE EVERY MORNING"	1	1	""	1	1	0	0	0	0
153	"ONE TABLET EVERY MORNING"	1	1	"TAB"	1	1	0	0	0	0
154	"ONE OR TWO THREE TIMES A DAY"	4.5	1.5	""	3	1	1	2	0	0
155	"ONE TWICE DAILY"	2	1	""	2	1	0	0	0	0
156	"2 BD"	4	2	""	2	1	0	0	0	0
157	"TAKE 1 OR 2 AT NIGHT"	1.5	1.5	""	1	1	1	2	0	0
158	"1 TAB TWICE DAILY"	2	1	"TAB"	2	1	0	0	0	0
159	"ONE TWICE A DAY AFTER FOOD"	2	1	""	2	1	0	0	0	0
160	"TAKE TWO EACH MORNING"	2	2	""	1	1	0	0	0	0
161	"ONE TWICE A DAY WHEN REQUIRED"	2	1	""	2	1	2	0	0	0
162	"1 TAB MANE"	1	1	"TAB"	1	1	0	0	0	0
163	"2 EVERY MORNING"	2	2	""	1	1	0	0	0	0
164	"INHALE 2 DOSES 4 TIMES/DAY"	8	2	""	4	1	0	0	0	0
165	"INHALE 1 DOSE AS NEEDED"	0	0	""	0	0	2	0	0	0
166	"APPLY TWICE WEEKLY"	0.2857143	0	""	2	7	0	0	0	0
167	"TWICE A DAY WHEN REQUIRED"	2	0	""	2	1	2	0	0	0
168	"~~~~"	0	0	""	0	0	0	0	0	0
169	"ONE TABLET TO BE TAKEN DAILY"	1	1	"TAB"	1	1	0	0	0	0
170	"1 OR 2 FOUR TIMES A DAY WHEN REQUIRED"	6	1.5	""	4	1	2	2	0	0
171	"1 TWICE DAILY"	2	1	""	2	1	0	0	0	0
172	"ONE TABLET DAILY"	1	1	"TAB"	1	1	0	0	0	0
173	"TWO 5ML SPOONSFUL TO BE TAKEN FOUR TIMES A DAY WHEN REQUIRED"	40	10	"ML"	4	1	2	0	0	0
174	"TAKE 1 OR 2 3 TIMES/DAY"	4.5	1.5	""	3	1	1	2	0	0
175	"TDS"	3	0	""	3	1	0	0	0	0
176	"ONE AT NIGHT WHEN REQUIRED"	1	1	""	1	1	2	0	0	0
177	"1 TABLET(S) EVERY DAY"	1	1	"TAB"	1	1	0	0	0	0
178	"IN THE MORNING"	1	0	""	1	1	0	0	0	0
179	"1 MANE"	1	1	""	1	1	0	0	0	0
180	"ONE TO BE TAKEN IN THE MORNING"	1	1	""	1	1	0	0	0	0
181	"1TDS"	3	1	""	3	1	0	0	0	0
182	"TWO SPRAYS DAILY"	2	2	"SPRAY"	1	1	0	0	0	0
183	"TAKE AS DIRECTED"	0	0	""	0	0	0	0	0	0
184	"2 PUFFS BD"	4	2	"PUFF"	2	1	0	0	0	0
185	"TO BE APPLIED TO THE AFFECTED PART THREE TIMES A DAY"	3	0	""	3	1	0	0	0	0
186	"1 CAP DAILY"	1	1	"CAP"	1	1	0	0	0	0
187	"TAKE TWO 3 TIMES/DAY"	6	2	""	3	1	0	0	0	0
188	"THREE TWICE A DAY"	6	3	""	2	1	0	0	0	0
189	"1 OM"	1	1	""	1	1	0	0	0	0
190	"TAKE ONE 2 TIMES/DAY"	2	1	""	2	1	0	0	0	0
191	"1 ONCE A DAY"	1	1	""	1	1	0	0	0	0
192	"20ML 4 TIMES/DAY"	80	20	"ML"	4	1	0	0	0	0
193	"TAKE 1 DAILY"	1	1	""	1	1	0	0	0	0
194	"APPLY 2-3 TIMES/DAY"	2.5	0	""	2.5	1	1	2	0	0
195	"TAKE 2 DAILY"	2	2	""	1	1	0	0	0	0
196	"THREE DAILY"	3	3	""	1	1	0	0	0	0
197	"ONE TO BE TAKEN AT NIGHT"	1	1	""	1	1	0	0	0	0
198	"APPLY AT NIGHT"	1	0	""	1	1	0	0	0	0
199	"2 PUFFS WHEN REQUIRED"	0	2	"PUFF"	1	0	2	0	0	0
200	"1 EACH MORNING"	1	1	""	1	1	0	0	0	0
201	"ONE THREE TIMES A DAY BEFORE FOOD"	3	1	""	3	1	0	0	0	0
202	"1 A DAY"	1	1	""	1	1	0	0	0	0
203	"FOUR EVERY DAY"	4	4	""	1	1	0	0	0	0
204	"1 TAB BD"	2	1	"TAB"	2	1	0	0	0	0
205	"2 OD"	2	2	""	1	1	0	0	0	0
206	"2 PUFF(S) FOUR TIMES A DAY WHEN REQUIRED"	8	2	"PUFF"	4	1	2	0	0	0
207	"USE DAILY"	1	0	""	1	1	0	0	0	0
208	"1 TAB OD"	1	1	"TAB"	1	1	0	0	0	0
209	"INSERT ONE AT NIGHT"	1	1	""	1	1	0	0	0	0
210	"TAKE ONE 3 TIMES A DAY"	3	1	""	3	1	0	0	0	0
211	"1 THREE TIMES A DAY AFTER FOOD"	3	1	""	3	1	0	0	0	0
212	"1-2 FOUR TIMES A DAY"	6	1.5	""	4	1	1	2	0	0
213	"3 DAILY"	3	3	""	1	1	0	0	0	0
214	"TWO PUFF THREE TIMES A DAY"	6	2	"PUFF"	3	1	0	0	0	0
215	"ONE EVERY DAY AS DIRECTED"	1	1	""	1	1	0	0	0	0
216	"TAKE ONE EVERY NIGHT"	1	1	""	1	1	0	0	0	0
217	"TO BE APPLIED WHEN REQUIRED"	0	0	""	0	0	2	0	0	0
218	"TAKE ONE ONCE A DAY"	1	1	""	1	1	0	0	0	0
219	"THREE AT NIGHT"	3	3	""	1	1	0	0	0	0
220	"2X5ML SPOON 4 TIMES/DAY"	40	10	"ML"	4	1	0	0	0	0
221	"TWO PUFFS ONCE DAILY"	2	2	"PUFF"	1	1	0	0	0	0
222	"ONCE A DAY"	1	0	""	1	1	0	0	0	0
223	"ONE TO BE TAKEN TWICE A DAY"	2	1	""	2	1	0	0	0	0
224	"1 TABLET(S) DAILY"	1	1	"TAB"	1	1	0	0	0	0
225	"5ML OR 10ML 4 TIMES/DAY"	30	7.5	"ML"	4	1	0	2	0	0
226	"ONE EACH MORNING"	1	1	""	1	1	0	0	0	0
227	"MERIEUX"	0	0	""	0	0	0	0	0	0
228	"ONE TWICE A DAY WITH MEALS"	2	1	""	2	1	0	0	0	0
229	"TO BE APPLIED FOUR TIMES A DAY"	4	0	""	4	1	0	0	0	0
230	"TO BE APPLIED AS DIRECTED"	0	0	""	0	0	0	0	0	0
231	"2 NOCTE"	2	2	""	1	1	0	0	0	0
232	"1 TAB NOCTE"	1	1	"TAB"	1	1	0	0	0	0
233	"ONCE DAILY"	1	0	""	1	1	0	0	0	0
234	"ONE TABLET TWICE A DAY"	2	1	"TAB"	2	1	0	0	0	0
235	"5ML FOUR TIMES A DAY"	20	5	"ML"	4	1	0	0	0	0
236	"ONE EVERY DAY WHEN REQUIRED"	1	1	""	1	1	2	0	0	0
237	"0.5MLS"	0	0.5	"ML"	1	0	0	0	0	0
238	"TAKE 2 AT NIGHT"	2	2	""	1	1	0	0	0	0
239	"1 ON"	1	1	""	1	1	0	0	0	0
240	"1 TAB 3 TIMES DAILY"	3	1	"TAB"	3	1	0	0	0	0
241	"INSERT ONE AS NEEDED"	0	1	""	1	0	2	0	0	0
242	"ONE 5ML SPOONSFUL TO BE TAKEN FOUR TIMES A DAY WHEN REQUIRED"	20	5	"ML"	4	1	2	0	0	0
243	"1 EVERY DAY AFTER FOOD"	1	1	""	1	1	0	0	0	0
244	"TAKE ONE BD"	2	1	""	2	1	0	0	0	0
245	"AS REQUIRED"	0	0	""	0	0	2	0	0	0
246	"TAKE TWO TWICE A DAY"	4	2	""	2	1	0	0	0	0
247	"PRN"	0	0	""	0	0	2	0	0	0
248	"3 EVERY DAY"	3	3	""	1	1	0	0	0	0
249	"THREE 5ML SPOONSFUL TO BE TAKEN TWICE A DAY"	30	15	"ML"	2	1	0	0	0	0
250	"1 THREE TIMES A DAY WITH MEALS"	3	1	""	3	1	0	0	0	0
251	"1 WHEN REQUIRED"	0	1	""	1	0	2	0	0	0
252	"ONE TABLET EVERY DAY"	1	1	"TAB"	1	1	0	0	0	0
253	"2 IN THE MORNING"	2	2	""	1	1	0	0	0	0
254	"1 TABLET(S) TWICE A DAY"	2	1	"TAB"	2	1	0	0	0	0
255	"TWO 5ML SPOONSFUL TO BE TAKEN EVERY NIGHT"	10	10	"ML"	1	1	0	0	0	0
256	"1ON"	1	1	""	1	1	0	0	0	0
257	"2 PUFFS TWICE DAILY"	4	2	"PUFF"	2	1	0	0	0	0
258	"TAKE ONE DAILY FOR BLOOD PRESSURE"	1	1	""	1	1	0	0	0	0
259	"ONE EVERY DAY WITH MEALS"	1	1	""	1	1	0	0	0	0
260	"APPLY ONCE DAILY"	1	0	""	1	1	0	0	0	0
261	"ONE TO BE TAKEN THREE TIMES A DAY"	3	1	""	3	1	0	0	0	0
262	"TWO PUFF TO EACH NOSTRIL TWICE A DAY"	8	2	"PUFF"	2	1	0	0	0	0
263	"SUCK 4 TIMES/DAY"	4	0	""	4	1	0	0	0	0
264	"TAKE ONE TABLET DAILY"	1	1	"TAB"	1	1	0	0	0	0
265	"2.5MLS THREE TIMES A DAY"	7.5	2.5	"ML"	3	1	0	0	0	0
266	"2 PUFFS FOUR TIMES A DAY"	8	2	"PUFF"	4	1	0	0	0	0
267	"APPLY FOUR TIMES A DAY"	4	0	""	4	1	0	0	0	0
268	"2 PUFFS FOUR TIMES A DAY WHEN REQUIRED"	8	2	"PUFF"	4	1	2	0	0	0
269	"ONE TABLET(S) EVERY MORNING"	1	1	"TAB"	1	1	0	0	0	0
270	"1 AT NIGHT WHEN REQUIRED"	1	1	""	1	1	2	0	0	0
271	"1 TABLET(S) IN THE MORNING"	1	1	"TAB"	1	1	0	0	0	0
272	"TAKE 1 TABLET DAILY"	1	1	"TAB"	1	1	0	0	0	0
273	"TAKE ONE TABLET EVERY MORNING"	1	1	"TAB"	1	1	0	0	0	0
274	"ONE EVERY MORNING TWO EVERY NIGHT"	3	1	""	3	1	0	0	0	0
275	"1 PUFF TWICE A DAY"	2	1	"PUFF"	2	1	0	0	0	0
276	"AS DIRECTED."	0	0	""	0	0	0	0	0	0
277	"TAKE THREE DAILY"	3	3	""	1	1	0	0	0	0
278	"10D"	0	10	""	1	0	0	0	0	0
279	"TAKE 1 OR 2 4 TIMES/DAY WHEN REQUIRED"	6	1.5	""	4	1	2	2	0	0
280	"TWO NOW THEN ONE DAILY"	1	1	""	1	1	0	0	0	0
281	"2PUFFS BD"	4	2	"PUFF"	2	1	0	0	0	0
282	"SIX EVERY DAY"	6	6	""	1	1	0	0	0	0
283	"1 EVERY DAY AS DIRECTED"	1	1	""	1	1	0	0	0	0
284	"1 CAP IN THE MORNING"	1	1	"CAP"	1	1	0	0	0	0
285	"ONE OR TWO EVERY DAY"	1.5	1.5	""	1	1	1	2	0	0
286	"2BD"	4	2	""	2	1	0	0	0	0
287	"TWICE DAILY"	2	0	""	2	1	0	0	0	0
288	"TAKE 2 TWICE A DAY"	4	2	""	2	1	0	0	0	0
289	"TWO PUFFS TWICE A DAY"	4	2	"PUFF"	2	1	0	0	0	0
290	"INHALE 2 DOSE TWICE DAILY"	4	2	""	2	1	0	0	0	0
291	"1 TAB AS DIRECTED"	0	1	"TAB"	1	0	0	0	0	0
292	"10ML TWICE A DAY"	20	10	"ML"	2	1	0	0	0	0
293	"THREE EVERY MORNING"	3	3	""	1	1	0	0	0	0
294	"ONE OR TWO EVERY NIGHT WHEN REQUIRED"	1.5	1.5	""	1	1	2	2	0	0
295	"AS NEEDED"	0	0	""	0	0	2	0	0	0
296	"IN THE USUAL MANNER"	0	0	""	0	0	0	0	0	0
297	"A HALF EVERY DAY"	0.5	0.5	""	1	1	0	0	0	0
298	"HALF EVERY DAY"	0.5	0.5	""	1	1	0	0	0	0
299	"TAKE ONE 3 TIMES/DAY WHEN REQUIRED"	3	1	""	3	1	2	0	0	0
300	"1 EVERY DAY WHEN REQUIRED"	1	1	""	1	1	2	0	0	0
301	"1 EVERY EVENING"	1	1	""	1	1	0	0	0	0
302	"ONE TABLET AT NIGHT"	1	1	"TAB"	1	1	0	0	0	0
303	"TAKE 1 TABLET ONCE DAILY"	1	1	"TAB"	1	1	0	0	0	0
304	"1"	0	1	""	1	0	0	0	0	0
305	"1OM"	1	1	""	1	1	0	0	0	0
306	"TAKE 1 EVERY DAY"	1	1	""	1	1	0	0	0	0
307	"USE ASD"	0	0	""	0	0	0	0	0	0
308	"1 QDS"	4	1	""	4	1	0	0	0	0
309	"ONE TO BE TAKEN TWICE DAILY"	2	1	""	2	1	0	0	0	0
310	"TWICE A DAY TO EACH EYE"	4	0	""	2	1	0	0	0	0
311	"ONE TABLET(S) EVERY DAY"	1	1	"TAB"	1	1	0	0	0	0
312	"TWO WHEN REQUIRED FOUR TIMES A DAY"	8	2	""	4	1	2	1	0	0
313	"2 PUFFS PRN"	0	2	"PUFF"	1	0	2	0	0	0
314	"2OD"	2	2	""	1	1	0	0	0	0
315	"ONE IMMEDIATELY"	1	1	""	1	1	0	0	0	1
316	"1D"	0	1	""	1	0	0	0	0	0
317	"2 THREE TIMES A DAY WHEN REQUIRED"	6	2	""	3	1	2	0	0	0
318	"ONE BD"	2	1	""	2	1	0	0	0	0
319	"APPLY WHEN REQUIRED"	0	0	""	0	0	2	0	0	0
320	"SLS"	0	0	""	0	0	0	0	0	0
321	"2 TDS"	6	2	""	3	1	0	0	0	0
322	"THREE TIMES A DAY AFTER FOOD"	3	0	""	3	1	0	0	0	0
323	"UP TO TWO FOUR TIMES A DAY WHEN REQUIRED"	8	2	""	4	1	2	1	0	0
324	"TWO 5ML SPOONSFUL TO BE TAKEN AT NIGHT"	10	10	"ML"	1	1	0	0	0	0
325	"1 FOUR TIMES A DAY WHEN REQUIRED"	4	1	""	4	1	2	0	0	0
326	"ONE  DAILY"	1	1	""	1	1	0	0	0	0
327	"TAKE ONE THREE TIMES DAILY"	3	1	""	3	1	0	0	0	0
328	"2 PUFF(S) WHEN REQUIRED"	0	2	"PUFF"	1	0	2	0	0	0
329	"INHALE 2 DOSES AS DIRECTED"	0	0	""	0	0	0	0	0	0
330	"ONE OR TWO TWICE A DAY"	3	1.5	""	2	1	1	2	0	0
331	"5MLS THREE TIMES A DAY"	15	5	"ML"	3	1	0	0	0	0
332	"TAKE ONE EARLY EVENING"	1	0	""	1	1	0	0	0	0
333	"2PUFFSBD"	4	2	"PUFF"	2	1	0	0	0	0
334	"3 AT NIGHT"	3	3	""	1	1	0	0	0	0
335	"TAKE ONE 3 TIMES/DAY AFTER FOOD"	3	1	""	3	1	0	0	0	0
336	"1 AS DIRECTED"	0	1	""	1	0	0	0	0	0
337	"TAKE ONE AT NIGHT WHEN REQUIRED"	1	1	""	1	1	2	0	0	0
338	"1 EVERY DAY WITH MEALS"	1	1	""	1	1	0	0	0	0
339	"1-2 AT NIGHT"	1.5	1.5	""	1	1	1	2	0	0
340	"FOUR TWICE A DAY"	8	4	""	2	1	0	0	0	0
341	"TAKE ONE THREE TIMES/DAY"	3	1	""	3	1	0	0	0	0
342	"1 D"	0	1	""	1	0	0	0	0	0
343	"ONE ONCE DAILY"	1	1	""	1	1	0	0	0	0
344	"1 WEEKLY"	0.1428571	1	""	1	7	0	0	0	0
345	"ONE EVERY MORNING AFTER FOOD"	1	1	""	1	1	0	0	0	0
346	"1 EVERY NIGHT WHEN REQUIRED"	1	1	""	1	1	2	0	0	0
347	"4 DAILY"	4	4	""	1	1	0	0	0	0
348	"TAKE ONE AT NIGHT FOR CHOLESTEROL"	1	1	""	1	1	0	0	0	0
349	"ONE THREE TIMES A DAY AFTER FOOD WHEN REQUIRED"	3	1	""	3	1	2	0	0	0
350	"5 ML THREE TIMES A DAY"	15	5	"ML"	3	1	0	0	0	0
351	"TAKE ONE OR TWO AT NIGHT"	1.5	1.5	""	1	1	1	2	0	0
352	"TO BE APPLIED TO THE AFFECTED PART WHEN REQUIRED"	0	0	""	0	0	2	0	0	0
353	"2 TABS DAILY"	2	2	"TAB"	1	1	0	0	0	0
354	"ONE 5ML SPOONSFUL TO BE TAKEN WHEN REQUIRED"	0	5	"ML"	1	0	2	0	0	0
355	"5ML - 10ML 4 TIMES/DAY"	30	7.5	"ML"	4	1	1	2	0	0
